vehicleType,heading,dir,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,36,23,34,42
car,SB,R,24,26,23,15
car,SB,T,102,133,141,150
car,SB,L,0,0,0,0
car,WB,Peds,24,17,31,44
car,WB,R,0,0,0,0
car,WB,T,60,71,55,38
car,WB,L,17,20,22,25
car,NB,Peds,16,25,38,49
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,21,20,29,33
car,EB,R,0,0,0,0
car,EB,T,0,0,0,0
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,1,0,1
truck,SB,T,1,0,1,2
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,3,2,1,3
truck,WB,L,0,2,1,3
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,9,4,10,9
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,1,1,1,1
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,0,0,1
bicycle,EB,L,0,0,0,0
