vehicleType,heading,dir,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,14,11,10,17
car,SB,R,18,21,16,20
car,SB,T,112,157,152,170
car,SB,L,0,0,0,0
car,WB,Peds,16,10,25,23
car,WB,R,0,0,0,0
car,WB,T,24,20,9,14
car,WB,L,13,14,14,14
car,NB,Peds,14,9,11,6
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,26,19,29,45
car,EB,R,0,0,0,0
car,EB,T,0,0,0,0
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,1,0,0
truck,SB,T,3,3,5,2
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,0,0,0
truck,WB,L,0,1,1,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,1,0,0,0
bicycle,SB,T,9,6,12,9
bicycle,SB,L,1,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,2,1,1,0
bicycle,WB,L,0,0,0,1
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,0,0,0
bicycle,EB,L,0,0,0,0
