vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,1,4,8,10,14,11,10,17,4
car,SB,R,6,10,21,13,18,21,16,20,2
car,SB,T,46,81,97,90,112,157,152,170,31
car,SB,L,0,1,2,0,0,0,0,0,0
car,WB,Peds,8,10,10,19,16,10,25,23,13
car,WB,R,0,0,0,0,0,0,0,0,0
car,WB,T,1,14,12,13,24,20,9,14,4
car,WB,L,1,8,4,7,13,14,14,14,0
car,NB,Peds,4,1,8,5,14,9,11,6,1
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,0
car,EB,Peds,9,15,15,12,26,19,29,45,9
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,0,0,0
car,EB,L,0,0,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,1,0,0,0
truck,SB,T,3,3,3,2,3,3,5,2,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,0,3,3,0,0,0,0,0,0
truck,WB,L,0,0,2,0,0,1,1,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,1,0,0,0,0
bicycle,SB,T,3,2,2,8,9,6,12,9,3
bicycle,SB,L,0,0,0,0,1,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,0,0,1,0,2,1,1,0,0
bicycle,WB,L,0,0,0,0,0,0,0,1,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,1,1,0,0,0,0,0,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,0,0,0,0,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
