vehicleType,heading,dir,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00
car,SB,Peds,20,17,12,11
car,SB,R,15,9,19,10
car,SB,T,76,76,68,71
car,SB,L,0,0,0,0
car,WB,Peds,38,39,31,36
car,WB,R,0,0,0,0
car,WB,T,21,18,13,23
car,WB,L,14,16,12,10
car,NB,Peds,22,16,13,11
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,50,46,36,35
car,EB,R,0,0,0,0
car,EB,T,0,0,0,0
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,4,4,3,2
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,0,0,0
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,1,6,6,6
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,1,1,6,2
bicycle,WB,L,1,2,1,1
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,2,1,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,0,0,1
bicycle,EB,L,0,0,0,0
