vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15
car,SB,Peds,9,10,8,16,20,17,12,11,4
car,SB,R,15,14,8,8,15,9,19,10,9
car,SB,T,48,74,75,69,76,76,68,71,34
car,SB,L,0,0,0,0,0,0,0,0,0
car,WB,Peds,17,35,9,26,38,39,31,36,14
car,WB,R,0,0,0,0,0,0,0,0,0
car,WB,T,17,22,23,15,21,18,13,23,11
car,WB,L,9,14,9,12,14,16,12,10,5
car,NB,Peds,3,5,15,10,22,16,13,11,4
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,1,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,0
car,EB,Peds,23,27,23,32,50,46,36,35,13
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,0,0,0
car,EB,L,0,0,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0,0
truck,SB,T,2,3,4,4,4,4,3,2,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,0,1,0,0,0,0,0,0,0
truck,WB,L,1,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,1,0,0,0,0,0,0
bicycle,SB,T,5,6,3,1,1,6,6,6,0
bicycle,SB,L,0,0,1,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,1,0,2,1,1,1,6,2,1
bicycle,WB,L,0,0,1,3,1,2,1,1,1
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,1,0,2,2,1,0,0,1
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,1,0,0,0,0,0,0,0,0
bicycle,EB,T,1,0,0,0,0,0,0,1,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
