vehicleType,heading,dir,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,51,17,24,36
car,SB,R,20,19,19,19
car,SB,T,92,138,127,120
car,SB,L,0,1,0,0
car,WB,Peds,55,70,78,72
car,WB,R,0,2,8,0
car,WB,T,236,197,205,153
car,WB,L,72,81,71,71
car,NB,Peds,66,158,82,108
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,35,53,76,48
car,EB,R,0,0,0,0
car,EB,T,0,0,0,0
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,1,3,5,4
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,5,9,9,8
truck,WB,L,2,2,1,4
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,2,0,1,0
bicycle,SB,T,6,4,3,8
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,4,4,4,3
bicycle,WB,L,0,0,1,1
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,1
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,2,0,1
bicycle,EB,L,0,1,1,0
