vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,6,4,5,6,2,5,0,0
car,SB,R,1,0,2,5,6,4,2,0
car,SB,T,19,30,23,26,25,39,42,20
car,SB,L,0,0,1,0,3,1,0,0
car,WB,Peds,3,0,0,5,5,0,1,0
car,WB,R,0,0,0,0,3,0,0,1
car,WB,T,5,2,5,11,10,9,7,2
car,WB,L,2,6,5,9,3,6,6,3
car,NB,Peds,2,3,5,3,4,4,6,4
car,NB,R,5,6,14,16,12,3,11,5
car,NB,T,22,50,42,64,64,61,70,19
car,NB,L,4,14,14,10,14,11,12,8
car,EB,Peds,1,2,2,6,4,9,8,8
car,EB,R,5,17,7,7,11,16,14,3
car,EB,T,15,33,37,49,47,34,29,17
car,EB,L,3,3,8,5,0,2,2,0
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0
truck,SB,T,1,0,0,1,0,0,0,0
truck,SB,L,0,0,0,0,0,1,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0
truck,WB,T,0,0,0,1,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,1,0,0
truck,NB,T,1,3,0,1,0,0,2,0
truck,NB,L,0,1,0,0,0,1,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0
truck,EB,T,1,0,0,0,1,1,0,0
truck,EB,L,0,0,0,1,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,0,0,1,2
bicycle,SB,L,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,1,0,0,1,0
bicycle,WB,L,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,3,0,0,2,1,0
bicycle,NB,L,0,1,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,1,1,0,0,2,0
bicycle,EB,T,0,0,0,0,0,1,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0
