vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,0,2,1,2,0,2,1,2,0
car,SB,R,11,43,49,50,51,53,46,63,34
car,SB,T,0,0,0,0,0,0,0,0,0
car,SB,L,0,2,0,1,0,0,1,1,1
car,WB,Peds,0,0,0,1,0,0,0,0,0
car,WB,R,0,2,3,1,0,2,1,0,1
car,WB,T,0,0,2,1,1,1,2,1,0
car,WB,L,0,0,0,0,0,0,0,0,0
car,NB,Peds,0,0,0,0,0,0,0,0,0
car,NB,R,0,2,1,0,0,0,1,0,0
car,NB,T,42,107,146,143,138,138,131,123,40
car,NB,L,0,0,2,2,3,3,1,0,1
car,EB,Peds,0,0,0,0,0,0,0,0,0
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,1,0,0
car,EB,L,4,23,24,20,27,13,18,17,8
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,1,0,1,0,0,0,2,0,0
truck,SB,T,0,0,0,0,0,0,0,0,0
truck,SB,L,0,0,0,0,1,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,1,0,0,0
truck,WB,T,0,0,0,0,0,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,1,3,3,4,2,2,1,3,0
truck,NB,L,0,0,0,0,0,0,0,1,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,1,1,0,0,1,1,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,1,0,1,2,0,1,3,1,1
bicycle,SB,T,0,0,0,0,0,0,1,0,0
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,1,0,0
bicycle,WB,T,0,1,0,0,0,0,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,1,0,1,0,0,0,0
bicycle,NB,L,0,0,0,0,1,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,0,0,0,0,0,0,0
bicycle,EB,L,0,0,0,0,1,0,0,0,0
