vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15
car,SB,Peds,1,3,0,0,1,0,1,1,0
car,SB,R,38,69,64,85,81,83,70,65,22
car,SB,T,0,0,0,0,0,0,0,0,0
car,SB,L,2,1,2,1,1,2,0,0,0
car,WB,Peds,1,1,1,0,0,0,0,0,2
car,WB,R,2,1,1,1,1,1,1,0,0
car,WB,T,2,2,1,3,2,0,1,2,2
car,WB,L,0,0,0,0,0,0,0,0,0
car,NB,Peds,0,0,0,0,0,0,0,1,0
car,NB,R,0,0,1,2,1,0,0,2,1
car,NB,T,88,134,157,155,136,131,137,153,56
car,NB,L,2,9,6,7,1,0,4,4,0
car,EB,Peds,0,0,0,0,0,0,0,1,0
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,1,0,1,0,2,1,0,2,0
car,EB,L,10,8,10,11,14,19,14,11,4
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,1,0,1,0,1,0,0,0
truck,SB,T,0,0,0,0,0,0,0,0,0
truck,SB,L,0,0,0,1,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,0,0,0,0,0,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,1,2,1,0,1,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,1,0,0,1,1,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,1,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,1,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,1,1,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,0,0,0,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,2,1,2,4,1,1,1,0
bicycle,NB,L,0,0,0,0,1,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,0,1,0,0,0,0,0
bicycle,EB,L,0,0,0,0,0,1,0,0,0
