vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,2,1,6,0,2,2,1
car,SB,R,5,26,27,12,13,21,9
car,SB,T,24,46,45,41,54,34,9
car,SB,L,8,0,1,4,6,8,1
car,WB,Peds,1,0,0,1,0,1,1
car,WB,R,1,4,1,3,5,4,1
car,WB,T,27,86,82,80,79,91,23
car,WB,L,17,29,32,29,21,28,9
car,NB,Peds,3,3,3,8,1,1,1
car,NB,R,20,44,54,50,43,52,11
car,NB,T,49,82,97,82,77,98,25
car,NB,L,0,1,4,5,5,2,1
car,EB,Peds,0,0,2,6,5,0,2
car,EB,R,0,2,0,2,4,1,1
car,EB,T,24,47,61,49,47,55,16
car,EB,L,1,5,2,1,4,2,0
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,1,0,0,1,0
truck,SB,T,0,0,0,0,0,0,0
truck,SB,L,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,1,1,2,2,1,1,1
truck,WB,L,0,1,2,0,1,3,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,3,3,0,1,0,0
truck,NB,T,0,4,0,1,0,0,0
truck,NB,L,0,0,1,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0
truck,EB,T,0,2,4,1,1,1,0
truck,EB,L,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,0,1,0,0,0,1,0
bicycle,SB,L,0,0,0,0,2,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,1,2,0,0
bicycle,WB,L,0,0,0,0,2,0,1
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,1,0,0
bicycle,NB,T,0,2,1,2,3,0,0
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0
bicycle,EB,T,1,1,0,0,0,1,0
bicycle,EB,L,0,0,0,0,0,0,0
