vehicleType,heading,dir,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15
car,SB,Peds,2,1,9,1
car,SB,R,2,6,0,3
car,SB,T,74,56,57,63
car,SB,L,2,3,6,5
car,WB,Peds,0,1,3,1
car,WB,R,4,8,7,7
car,WB,T,54,56,54,38
car,WB,L,50,54,30,44
car,NB,Peds,5,6,5,2
car,NB,R,2,6,1,4
car,NB,T,97,97,91,103
car,NB,L,20,22,19,11
car,EB,Peds,5,1,1,0
car,EB,R,7,1,2,6
car,EB,T,40,46,36,48
car,EB,L,2,2,2,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,1,0
truck,SB,T,5,2,4,1
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,1,1,0
truck,WB,T,5,4,7,8
truck,WB,L,1,2,1,1
truck,NB,Peds,0,0,0,0
truck,NB,R,1,0,0,0
truck,NB,T,5,3,2,1
truck,NB,L,2,2,0,2
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,5,13,7,4
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,2
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,0,1,3
bicycle,WB,L,0,0,1,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,1,0,1,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,0,0,0
bicycle,EB,L,0,0,0,0
