vehicleType,heading,dir,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15
car,SB,Peds,1,2,0,2
car,SB,R,0,0,3,1
car,SB,T,36,39,41,34
car,SB,L,50,70,57,37
car,WB,Peds,4,1,2,5
car,WB,R,37,52,53,50
car,WB,T,33,24,30,42
car,WB,L,0,1,1,0
car,NB,Peds,2,4,0,5
car,NB,R,0,0,2,1
car,NB,T,31,41,21,43
car,NB,L,1,3,0,1
car,EB,Peds,5,11,1,5
car,EB,R,1,2,1,2
car,EB,T,43,33,41,36
car,EB,L,8,8,7,6
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,2,3,1,6
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,1,0,1
truck,WB,T,2,1,1,1
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,4,6,4,6
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,2,1,0,0
truck,EB,T,1,0,0,1
truck,EB,L,1,1,1,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,2,0
bicycle,SB,L,0,1,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,1,1
bicycle,WB,T,0,0,0,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,0,0,0
bicycle,EB,L,0,0,0,0
