vehicleType,heading,dir,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15
car,SB,Peds,8,0,5,4
car,SB,R,4,6,3,6
car,SB,T,75,67,69,76
car,SB,L,36,35,34,33
car,WB,Peds,1,1,2,4
car,WB,R,28,55,46,39
car,WB,T,73,64,47,66
car,WB,L,0,3,2,0
car,NB,Peds,5,1,7,10
car,NB,R,2,1,0,1
car,NB,T,38,41,49,44
car,NB,L,3,0,3,4
car,EB,Peds,4,2,5,1
car,EB,R,0,3,2,0
car,EB,T,35,26,26,33
car,EB,L,3,2,1,3
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,1,0
truck,SB,T,7,3,2,11
truck,SB,L,2,1,4,3
truck,WB,Peds,0,0,0,0
truck,WB,R,1,1,1,9
truck,WB,T,14,1,2,3
truck,WB,L,1,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,4,1,4,2
truck,NB,L,0,1,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,2,1,0,0
truck,EB,T,4,1,4,2
truck,EB,L,0,1,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,1,4
bicycle,SB,L,0,0,3,2
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,2,3
bicycle,WB,T,0,1,0,2
bicycle,WB,L,0,0,0,1
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,1
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,0,0,0
bicycle,EB,L,1,0,0,0
