vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,2,3,0,1,0,0,0
car,SB,R,5,4,2,1,4,3,0
car,SB,T,45,105,86,84,104,89,39
car,SB,L,1,2,1,5,4,3,0
car,WB,Peds,1,1,0,0,1,2,2
car,WB,R,1,0,1,0,0,0,0
car,WB,T,7,27,21,25,35,28,10
car,WB,L,14,18,22,17,24,14,4
car,NB,Peds,2,0,5,3,5,1,0
car,NB,R,7,15,17,14,16,11,7
car,NB,T,33,66,79,77,84,98,24
car,NB,L,1,2,5,8,16,11,6
car,EB,Peds,5,3,2,4,3,4,5
car,EB,R,3,7,9,8,7,5,1
car,EB,T,13,20,18,25,16,10,2
car,EB,L,4,5,3,0,3,4,1
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,1,0,0,0,0,0
truck,SB,T,3,3,2,3,3,4,0
truck,SB,L,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,0,0,1,0,0,0,0
truck,WB,L,0,0,1,1,1,1,1
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,0,0,1,0,1,0
truck,NB,T,1,7,3,3,1,0,0
truck,NB,L,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0
truck,EB,T,0,0,0,1,0,1,0
truck,EB,L,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,1,0,0
bicycle,SB,L,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,1,0,1,0
bicycle,WB,L,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,1,0,0,0,0,0
bicycle,NB,T,0,1,0,1,2,2,0
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0
bicycle,EB,T,1,1,1,0,0,1,0
bicycle,EB,L,0,0,0,0,0,0,0
