vehicleType,heading,dir,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30
car,SB,Peds,6,20,5,6
car,SB,R,1,1,2,2
car,SB,T,17,25,26,31
car,SB,L,22,17,12,19
car,WB,Peds,8,12,5,11
car,WB,R,1,0,4,1
car,WB,T,29,28,27,28
car,WB,L,2,10,11,12
car,NB,Peds,3,7,2,28
car,NB,R,42,36,47,47
car,NB,T,37,20,33,32
car,NB,L,5,3,2,2
car,EB,Peds,16,20,5,13
car,EB,R,1,2,2,1
car,EB,T,65,60,66,51
car,EB,L,1,3,3,1
truck,SB,Peds,0,0,0,0
truck,SB,R,1,0,0,2
truck,SB,T,2,2,3,0
truck,SB,L,1,1,2,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,3,3,2,3
truck,WB,L,1,6,3,1
truck,NB,Peds,0,0,0,0
truck,NB,R,2,6,5,5
truck,NB,T,5,6,5,3
truck,NB,L,1,1,3,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,6,1,6,3
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,2,0,0
bicycle,SB,L,0,1,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,1,0,1,1
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,1,0,0
bicycle,NB,T,1,0,0,0
bicycle,NB,L,1,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,1,2,0
bicycle,EB,L,0,0,0,0
