vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,0,0,0,0,0,0,0,0
car,SB,R,25,70,58,66,53,41,52,26
car,SB,T,4,23,20,18,23,13,15,9
car,SB,L,0,2,0,0,0,0,1,0
car,WB,Peds,0,1,0,0,0,1,0,0
car,WB,R,0,0,0,1,1,0,1,1
car,WB,T,72,164,182,171,122,130,118,66
car,WB,L,0,1,0,0,0,0,1,1
car,NB,Peds,0,0,0,0,0,0,0,0
car,NB,R,0,1,13,3,0,4,4,2
car,NB,T,2,3,6,4,9,5,7,2
car,NB,L,24,40,31,49,43,44,37,32
car,EB,Peds,0,0,1,0,0,1,0,0
car,EB,R,0,0,1,0,0,0,0,0
car,EB,T,30,86,88,106,104,87,85,42
car,EB,L,28,56,51,74,70,75,69,22
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,2,6,6,7,5,4,5,0
truck,SB,T,0,0,1,0,0,0,0,0
truck,SB,L,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0
truck,WB,T,0,2,1,1,3,1,1,0
truck,WB,L,0,0,0,0,0,1,1,0
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,1
truck,NB,L,0,0,0,1,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0
truck,EB,T,3,4,2,3,1,0,1,0
truck,EB,L,5,4,7,4,7,4,4,1
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0
bicycle,WB,T,0,1,2,2,0,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,1,0,0
bicycle,NB,T,0,1,0,0,0,0,0,0
bicycle,NB,L,0,0,1,0,1,0,3,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,1,0,0,0,0
bicycle,EB,T,0,0,0,0,1,0,1,0
bicycle,EB,L,0,0,1,1,0,0,0,0
