vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,0,0,0,0,4,0,0
car,SB,R,1,2,5,6,2,2,0
car,SB,T,106,181,156,167,150,193,57
car,SB,L,0,1,2,3,2,0,0
car,WB,Peds,0,2,0,0,0,0,1
car,WB,R,0,4,2,1,0,0,1
car,WB,T,5,13,14,19,12,12,3
car,WB,L,48,55,62,54,71,47,17
car,NB,Peds,0,0,1,0,0,0,0
car,NB,R,0,0,0,3,0,0,0
car,NB,T,67,114,125,112,123,103,36
car,NB,L,41,70,83,84,80,79,23
car,EB,Peds,0,1,1,0,0,0,1
car,EB,R,49,71,69,79,64,66,7
car,EB,T,6,19,7,11,5,14,0
car,EB,L,0,2,2,1,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0
truck,SB,T,2,10,2,1,1,0,0
truck,SB,L,0,1,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,0,0,1,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0
truck,NB,T,2,5,2,2,1,1,0
truck,NB,L,5,9,3,3,2,1,1
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,2,2,3,3,2,2,1
truck,EB,T,0,2,0,0,0,0,0
truck,EB,L,0,0,1,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,1,0,0
bicycle,SB,T,1,1,0,0,1,0,0
bicycle,SB,L,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,1,0,0,0,0,0,0
bicycle,WB,L,0,0,0,0,0,1,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,2,1
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,2,0,0,0,0
bicycle,EB,T,0,0,0,0,1,0,1
bicycle,EB,L,0,0,0,0,0,0,0
