vehicleType,heading,dir,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30
car,SB,Peds,0,0,0,0
car,SB,R,0,0,0,0
car,SB,T,0,0,0,0
car,SB,L,0,0,0,0
car,WB,Peds,1,0,0,0
car,WB,R,0,0,0,0
car,WB,T,66,55,46,55
car,WB,L,10,8,8,6
car,NB,Peds,2,0,0,0
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,1,0,0,0
car,EB,R,78,76,47,80
car,EB,T,54,45,56,64
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,0,0,0,0
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,5,5,6,4
truck,WB,L,0,0,1,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,1,2,3
truck,EB,T,6,7,3,2
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,1,2,1
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,1,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,1,0
bicycle,EB,T,0,0,0,0
bicycle,EB,L,0,0,0,0
