vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,0,0,0,0,0,0,0
car,SB,R,0,0,0,0,0,0,0
car,SB,T,0,0,0,0,0,0,0
car,SB,L,0,0,0,0,0,0,0
car,WB,Peds,0,1,1,0,0,0,0
car,WB,R,0,0,0,0,0,0,0
car,WB,T,1,59,66,55,46,55,14
car,WB,L,0,12,10,8,8,6,3
car,NB,Peds,0,0,2,0,0,0,0
car,NB,R,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0
car,EB,Peds,0,0,1,0,0,0,0
car,EB,R,3,66,78,76,47,80,26
car,EB,T,20,53,54,45,56,64,25
car,EB,L,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0
truck,SB,T,0,0,0,0,0,0,0
truck,SB,L,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,0,7,5,5,6,4,4
truck,WB,L,0,0,0,0,1,0,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,2,0,1,2,3,1
truck,EB,T,0,9,6,7,3,2,0
truck,EB,L,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,1,2,1,1
bicycle,WB,L,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,1,0,0
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,1,0,0,1,0,0
bicycle,EB,T,1,1,0,0,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0
