timestamp,int,heading,mvmt,vehicleType,tot
2023-03-01T21:30:00Z,16:30-16:45,SB,SBT,car,7
2023-03-01T21:30:00Z,16:30-16:45,SB,SBL,car,1
2023-03-01T21:30:00Z,16:30-16:45,EB,EBT,car,7
2023-03-01T21:30:00Z,16:30-16:45,EB,EBR,car,1
2023-03-01T21:30:00Z,16:30-16:45,SB,SBT,truck,1
2023-03-01T21:30:00Z,16:30-16:45,EB,EBT,truck,1
2023-03-01T21:45:00Z,16:45-17:00,SB,SBT,car,140
2023-03-01T21:45:00Z,16:45-17:00,SB,SBL,car,20
2023-03-01T21:45:00Z,16:45-17:00,EB,EBT,car,236
2023-03-01T21:45:00Z,16:45-17:00,EB,EBR,car,51
2023-03-01T21:45:00Z,16:45-17:00,SB,Peds,pedestrian,8
2023-03-01T21:45:00Z,16:45-17:00,SB,SBT,truck,1
2023-03-01T21:45:00Z,16:45-17:00,SB,SBL,truck,1
2023-03-01T21:45:00Z,16:45-17:00,EB,EBT,truck,5
2023-03-01T21:45:00Z,16:45-17:00,EB,EBR,truck,1
2023-03-01T21:45:00Z,16:45-17:00,SB,SBT,bicycle,2
2023-03-01T21:45:00Z,16:45-17:00,EB,EBR,bicycle,1
2023-03-01T22:00:00Z,17:00-17:15,SB,SBT,car,125
2023-03-01T22:00:00Z,17:00-17:15,SB,SBL,car,23
2023-03-01T22:00:00Z,17:00-17:15,EB,EBT,car,178
2023-03-01T22:00:00Z,17:00-17:15,EB,EBR,car,67
2023-03-01T22:00:00Z,17:00-17:15,EB,EBL,car,1
2023-03-01T22:00:00Z,17:00-17:15,SB,Peds,pedestrian,3
2023-03-01T22:00:00Z,17:00-17:15,WB,Peds,pedestrian,2
2023-03-01T22:00:00Z,17:00-17:15,EB,Peds,pedestrian,2
2023-03-01T22:00:00Z,17:00-17:15,SB,SBT,truck,1
2023-03-01T22:00:00Z,17:00-17:15,EB,EBT,truck,6
2023-03-01T22:00:00Z,17:00-17:15,EB,EBR,truck,2
2023-03-01T22:00:00Z,17:00-17:15,SB,SBT,bicycle,5
2023-03-01T22:00:00Z,17:00-17:15,WB,WBT,bicycle,2
2023-03-01T22:00:00Z,17:00-17:15,EB,EBT,bicycle,5
2023-03-01T22:00:00Z,17:00-17:15,EB,EBR,bicycle,1
2023-03-01T22:15:00Z,17:15-17:30,SB,SBT,car,130
2023-03-01T22:15:00Z,17:15-17:30,SB,SBL,car,22
2023-03-01T22:15:00Z,17:15-17:30,EB,EBT,car,203
2023-03-01T22:15:00Z,17:15-17:30,EB,EBR,car,48
2023-03-01T22:15:00Z,17:15-17:30,SB,Peds,pedestrian,24
2023-03-01T22:15:00Z,17:15-17:30,WB,Peds,pedestrian,14
2023-03-01T22:15:00Z,17:15-17:30,NB,Peds,pedestrian,24
2023-03-01T22:15:00Z,17:15-17:30,EB,Peds,pedestrian,36
2023-03-01T22:15:00Z,17:15-17:30,SB,SBT,truck,8
2023-03-01T22:15:00Z,17:15-17:30,EB,EBT,truck,3
2023-03-01T22:15:00Z,17:15-17:30,EB,EBR,truck,3
2023-03-01T22:15:00Z,17:15-17:30,SB,SBT,bicycle,9
2023-03-01T22:15:00Z,17:15-17:30,SB,SBL,bicycle,2
2023-03-01T22:15:00Z,17:15-17:30,NB,NBT,bicycle,1
2023-03-01T22:15:00Z,17:15-17:30,EB,EBT,bicycle,2
2023-03-01T22:15:00Z,17:15-17:30,EB,EBR,bicycle,1
2023-03-01T22:30:00Z,17:30-17:45,SB,SBT,car,110
2023-03-01T22:30:00Z,17:30-17:45,SB,SBL,car,20
2023-03-01T22:30:00Z,17:30-17:45,NB,NBR,car,1
2023-03-01T22:30:00Z,17:30-17:45,EB,EBT,car,168
2023-03-01T22:30:00Z,17:30-17:45,EB,EBR,car,43
2023-03-01T22:30:00Z,17:30-17:45,SB,Peds,pedestrian,14
2023-03-01T22:30:00Z,17:30-17:45,WB,Peds,pedestrian,3
2023-03-01T22:30:00Z,17:30-17:45,NB,Peds,pedestrian,28
2023-03-01T22:30:00Z,17:30-17:45,EB,Peds,pedestrian,14
2023-03-01T22:30:00Z,17:30-17:45,SB,SBT,truck,2
2023-03-01T22:30:00Z,17:30-17:45,SB,SBL,truck,2
2023-03-01T22:30:00Z,17:30-17:45,EB,EBT,truck,5
2023-03-01T22:30:00Z,17:30-17:45,SB,SBT,bicycle,5
2023-03-01T22:30:00Z,17:30-17:45,WB,WBT,bicycle,2
2023-03-01T22:30:00Z,17:30-17:45,WB,WBR,bicycle,1
2023-03-01T22:30:00Z,17:30-17:45,WB,WBL,bicycle,1
2023-03-01T22:30:00Z,17:30-17:45,NB,NBR,bicycle,1
2023-03-01T22:30:00Z,17:30-17:45,EB,EBT,bicycle,1
