timestamp,int,vehicleType,heading,dir,tot
2023-08-23T21:00:00Z,17:00-17:15,car,SB,Peds,6
2023-08-23T21:00:00Z,17:00-17:15,car,SB,R,7
2023-08-23T21:00:00Z,17:00-17:15,car,SB,T,73
2023-08-23T21:00:00Z,17:00-17:15,car,SB,L,7
2023-08-23T21:00:00Z,17:00-17:15,car,WB,Peds,12
2023-08-23T21:00:00Z,17:00-17:15,car,WB,R,2
2023-08-23T21:00:00Z,17:00-17:15,car,WB,T,19
2023-08-23T21:00:00Z,17:00-17:15,car,WB,L,2
2023-08-23T21:00:00Z,17:00-17:15,car,NB,Peds,7
2023-08-23T21:00:00Z,17:00-17:15,car,NB,R,4
2023-08-23T21:00:00Z,17:00-17:15,car,NB,T,72
2023-08-23T21:00:00Z,17:00-17:15,car,NB,L,3
2023-08-23T21:00:00Z,17:00-17:15,car,EB,Peds,3
2023-08-23T21:00:00Z,17:00-17:15,car,EB,R,2
2023-08-23T21:00:00Z,17:00-17:15,car,EB,T,9
2023-08-23T21:00:00Z,17:00-17:15,car,EB,L,3
2023-08-23T21:00:00Z,17:00-17:15,truck,SB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,truck,SB,R,0
2023-08-23T21:00:00Z,17:00-17:15,truck,SB,T,5
2023-08-23T21:00:00Z,17:00-17:15,truck,SB,L,0
2023-08-23T21:00:00Z,17:00-17:15,truck,WB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,truck,WB,R,0
2023-08-23T21:00:00Z,17:00-17:15,truck,WB,T,0
2023-08-23T21:00:00Z,17:00-17:15,truck,WB,L,0
2023-08-23T21:00:00Z,17:00-17:15,truck,NB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,truck,NB,R,0
2023-08-23T21:00:00Z,17:00-17:15,truck,NB,T,6
2023-08-23T21:00:00Z,17:00-17:15,truck,NB,L,0
2023-08-23T21:00:00Z,17:00-17:15,truck,EB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,truck,EB,R,0
2023-08-23T21:00:00Z,17:00-17:15,truck,EB,T,0
2023-08-23T21:00:00Z,17:00-17:15,truck,EB,L,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,SB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,SB,R,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,SB,T,5
2023-08-23T21:00:00Z,17:00-17:15,bicycle,SB,L,1
2023-08-23T21:00:00Z,17:00-17:15,bicycle,WB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,WB,R,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,WB,T,1
2023-08-23T21:00:00Z,17:00-17:15,bicycle,WB,L,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,NB,Peds,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,NB,R,0
2023-08-23T21:00:00Z,17:00-17:15,bicycle,NB,T,2
2023-08-23T21:00:00Z,17:00-17:15,bicycle,NB,L,0
