timestamp,int,heading,mvmt,vehicleType,tot
2023-03-16T11:45:00Z,07:45-08:00,SB,SBT,car,28
2023-03-16T11:45:00Z,07:45-08:00,SB,SBR,car,1
2023-03-16T11:45:00Z,07:45-08:00,SB,SBL,car,28
2023-03-16T11:45:00Z,07:45-08:00,WB,WBT,car,40
2023-03-16T11:45:00Z,07:45-08:00,WB,WBR,car,47
2023-03-16T11:45:00Z,07:45-08:00,WB,WBL,car,11
2023-03-16T11:45:00Z,07:45-08:00,NB,NBT,car,44
2023-03-16T11:45:00Z,07:45-08:00,NB,NBR,car,15
2023-03-16T11:45:00Z,07:45-08:00,NB,NBL,car,4
2023-03-16T11:45:00Z,07:45-08:00,WB,Peds,pedestrian,3
2023-03-16T11:45:00Z,07:45-08:00,EB,Peds,pedestrian,1
2023-03-16T11:45:00Z,07:45-08:00,SB,SBL,truck,1
2023-03-16T11:45:00Z,07:45-08:00,WB,WBR,truck,1
2023-03-16T11:45:00Z,07:45-08:00,WB,WBL,truck,1
2023-03-16T11:45:00Z,07:45-08:00,NB,NBT,bicycle,1
2023-03-16T12:00:00Z,08:00-08:15,SB,SBT,car,47
2023-03-16T12:00:00Z,08:00-08:15,SB,SBR,car,4
2023-03-16T12:00:00Z,08:00-08:15,SB,SBL,car,27
2023-03-16T12:00:00Z,08:00-08:15,WB,WBT,car,34
2023-03-16T12:00:00Z,08:00-08:15,WB,WBR,car,36
2023-03-16T12:00:00Z,08:00-08:15,WB,WBL,car,10
2023-03-16T12:00:00Z,08:00-08:15,NB,NBU,car,1
2023-03-16T12:00:00Z,08:00-08:15,NB,NBT,car,36
2023-03-16T12:00:00Z,08:00-08:15,NB,NBR,car,7
2023-03-16T12:00:00Z,08:00-08:15,NB,NBL,car,7
2023-03-16T12:00:00Z,08:00-08:15,WB,Peds,pedestrian,1
2023-03-16T12:00:00Z,08:00-08:15,NB,Peds,pedestrian,3
2023-03-16T12:00:00Z,08:00-08:15,EB,Peds,pedestrian,2
2023-03-16T12:00:00Z,08:00-08:15,SB,SBL,truck,1
2023-03-16T12:00:00Z,08:00-08:15,WB,WBR,truck,1
2023-03-16T12:00:00Z,08:00-08:15,WB,WBL,truck,1
2023-03-16T12:00:00Z,08:00-08:15,SB,SBL,bicycle,1
2023-03-16T12:15:00Z,08:15-08:30,SB,SBT,car,45
2023-03-16T12:15:00Z,08:15-08:30,SB,SBR,car,5
2023-03-16T12:15:00Z,08:15-08:30,SB,SBL,car,23
2023-03-16T12:15:00Z,08:15-08:30,WB,WBT,car,54
2023-03-16T12:15:00Z,08:15-08:30,WB,WBR,car,41
2023-03-16T12:15:00Z,08:15-08:30,WB,WBL,car,10
2023-03-16T12:15:00Z,08:15-08:30,NB,NBT,car,42
2023-03-16T12:15:00Z,08:15-08:30,NB,NBR,car,12
2023-03-16T12:15:00Z,08:15-08:30,NB,NBL,car,1
2023-03-16T12:15:00Z,08:15-08:30,SB,Peds,pedestrian,2
2023-03-16T12:15:00Z,08:15-08:30,NB,Peds,pedestrian,2
2023-03-16T12:15:00Z,08:15-08:30,EB,Peds,pedestrian,2
2023-03-16T12:15:00Z,08:15-08:30,SB,SBL,truck,2
2023-03-16T12:15:00Z,08:15-08:30,WB,WBT,truck,1
2023-03-16T12:15:00Z,08:15-08:30,WB,WBR,truck,2
2023-03-16T12:15:00Z,08:15-08:30,NB,NBT,truck,1
2023-03-16T12:15:00Z,08:15-08:30,SB,SBR,bicycle,1
2023-03-16T12:15:00Z,08:15-08:30,NB,NBT,bicycle,1
2023-03-16T12:30:00Z,08:30-08:45,SB,SBT,car,28
2023-03-16T12:30:00Z,08:30-08:45,SB,SBR,car,3
2023-03-16T12:30:00Z,08:30-08:45,SB,SBL,car,19
2023-03-16T12:30:00Z,08:30-08:45,WB,WBT,car,41
2023-03-16T12:30:00Z,08:30-08:45,WB,WBR,car,32
2023-03-16T12:30:00Z,08:30-08:45,WB,WBL,car,7
2023-03-16T12:30:00Z,08:30-08:45,NB,NBU,car,1
2023-03-16T12:30:00Z,08:30-08:45,NB,NBT,car,27
2023-03-16T12:30:00Z,08:30-08:45,NB,NBR,car,14
2023-03-16T12:30:00Z,08:30-08:45,NB,NBL,car,5
2023-03-16T12:30:00Z,08:30-08:45,SB,Peds,pedestrian,1
2023-03-16T12:30:00Z,08:30-08:45,NB,Peds,pedestrian,2
2023-03-16T12:30:00Z,08:30-08:45,EB,Peds,pedestrian,1
2023-03-16T12:30:00Z,08:30-08:45,SB,SBL,truck,1
2023-03-16T12:30:00Z,08:30-08:45,WB,WBR,truck,1
2023-03-16T12:30:00Z,08:30-08:45,WB,WBL,truck,1
2023-03-16T12:30:00Z,08:30-08:45,WB,WBT,bicycle,1
2023-03-16T12:30:00Z,08:30-08:45,WB,WBL,bicycle,2
2023-03-16T12:30:00Z,08:30-08:45,NB,NBT,bicycle,1
